date,loans,deposits,deposit_movement,loan_growth_mom_pct,gca,ead,provisions,stage_1_share_pct,stage_2_share_pct,stage_3_share_pct,rwa,cet1_capital,at1_capital,tier2_capital,hqla,net_cash_outflows,ecb_rate_pct,avg_loan_yield_pct,avg_deposit_cost_pct,nii,fee_income,operating_income,operating_costs,pre_tax_profit,total_assets,total_liabilities
2022-09-30,300120.01192031964,336616.9040270831,1616.9040270830737,0.040003973439876106,300120.01192031964,324129.6128739452,4702.341849543406,89.90563135266406,7.645089726528691,2.449278920807256,172125.62412634693,31283.83943339127,5500,4000,76554.44997697108,51289.53080587559,3.520665097791405,4.594097783715825,1.9652996886648457,597.6896541067974,87.53500347675988,852.4289986699537,1067.1829711201276,-308.8008094410425,526674.4618972908,486616.9040270831
2022-10-31,301069.91479042853,338685.53077407734,2068.6267469942686,0.31650767439030403,301069.91479042853,325155.5079736628,4697.960271687574,89.82339648431581,7.744735051530466,2.4318684641537303,172655.1911088531,31123.08815955105,5500,4000,77054.44712875824,50409.670476578736,3.557887815531418,4.640791052215478,2.106717403726172,569.739887148927,87.81205848054167,834.7790101762897,1064.423687090885,-229.64467691459538,528124.3619191868,488685.53077407734
2022-11-30,301856.81408980215,338922.89941649913,237.36864242178854,0.26136762948279946,301856.81408980215,326005.35921698634,4748.1780778840075,89.77794657424299,7.765055534600894,2.4569978911561057,173123.56138853854,30898.124122772002,5500,4000,77553.88793092791,51805.0225532459,3.610676762385009,4.673341214863137,2.2869712783065244,529.6441281227061,88.0415707761923,791.5894736531292,1062.7488628553385,-321.3771953986426,529410.7020207301,488922.89941649913
2022-12-31,303227.2284971804,341007.75076504995,2084.8513485508156,0.45399485564387393,303227.2284971804,327485.4067769548,4748.454296533298,89.7510533577191,7.808270524680223,2.440676117600675,173810.15547160205,30689.124984273334,5500,4000,76672.31596181574,52251.367864329695,3.5921947168963335,4.704068486363557,2.39149035396032,509.07075266718846,88.44127497834428,767.5293820362024,1065.8233612421502,-298.5701978552379,529899.5444589962,491007.75076504995
2023-01-31,304302.6910253971,342798.0417030532,1790.2909380032797,0.35467214918225326,304302.6910253971,328646.9063074289,4813.462582883288,89.64391827913542,7.885944015568505,2.4701377052960756,174489.39576620286,30436.47925439283,5500,4000,76826.70993430143,52068.923568995306,3.606278720216259,4.726716132731082,2.4297233643899974,504.54002309181783,88.75495154907416,768.4999063955324,1064.414091303405,-360.92247125786275,531129.4009596985,492798.0417030532
2023-02-28,305006.28277981566,345345.81773363246,2547.7760305792326,0.2312144371933291,305006.28277981566,329406.78540220094,4878.6197057064655,89.6378483703577,7.854056803775568,2.5080948258667366,174895.67285972694,30171.758080516633,5500,4000,74964.19642721876,51699.69674337748,3.5939179955277423,4.724212955708922,2.5099339562787732,478.4328650771,88.96016581077957,758.0614295847724,1071.0774122990206,-378.17310553742595,529970.4792070345,495345.81773363246
2023-03-31,305568.7511241121,347142.62287072616,1796.8051370937028,0.18441205183385823,305568.7511241121,330014.2512140411,4846.366607118764,89.63178807237605,7.889512002187359,2.4786999254365845,175142.98379657618,29942.922110407093,5500,4000,73764.8211438608,51294.810001071004,3.591712617999047,4.733488497323335,2.5642147587901865,463.5482763476583,89.12421907786603,743.029775736541,1069.9383044644528,-326.90852872791186,529333.5722679729,497142.62287072616
2023-04-30,306963.35956598405,347530.4808489311,387.85797820496373,0.4563975984918342,306963.35956598405,331520.4283312628,4858.8219874718,89.54149632888517,7.990552601302436,2.467951069812386,175912.90753244577,29675.558755726008,5500,4000,73436.87693414271,51871.31019089478,3.607261507186732,4.685077362193568,2.6201374855212043,439.6412055766524,89.53097987341202,702.1311503470235,1071.6234195383931,-381.94764954440575,530400.2365001268,497530.4808489311
2023-05-31,308226.9214195448,349104.3935308474,1573.912681916263,0.41163279400748604,308226.9214195448,332885.0751331084,4877.002103693423,89.4978281300813,8.037408434863917,2.464763435054788,176581.71221689586,29389.01468224541,5500,4000,73422.4999644207,50723.10491912671,3.6340876402484388,4.646680995172478,2.6255810230632464,429.6919226984361,89.89951874736722,684.632739031781,1075.8012992110089,-409.3486764008512,531649.4213839655,499104.3935308474
2023-06-30,308860.2024842341,351459.9052709638,2355.5117401164025,0.2054593614901526,308860.2024842341,333569.0186829729,4935.057147777207,89.44652332836822,8.057401831423315,2.496074840208463,176990.3793580286,29090.57854164441,5500,4000,72467.69430322551,52440.552969228745,3.612395873310837,4.629858942785197,2.6507318692102984,415.2943324089182,90.08422572456828,697.9831801953474,1066.265479827281,-426.3373437157179,531327.8967874596,501459.9052709638
